No.	Size	Cred	Members
1	2	0.14844444444444443	{t2,t5}
2	3	0.09277777777777778	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14544444444444443	{t1,t5}
5	3	0.08344444444444445	{t2,t3,t5}
6	4	0.1288888888888889	{t1,t2,t3,t5}
7	2	0.15355555555555556	{t3,t5}
8	3	0.08244444444444445	{t1,t3,t5}
9	3	0.09411111111111112	{t2,t4,t5}
10	4	0.15433333333333332	{t1,t2,t4,t5}
11	2	0.134	{t4,t5}
12	3	0.07233333333333333	{t1,t4,t5}
13	4	0.14733333333333334	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.093	{t3,t4,t5}
16	4	0.14133333333333334	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.1461111111111111	{t1,t2}
19	1	1.0	{t1}
20	2	0.12611111111111112	{t2,t3}
21	3	0.07644444444444444	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1451111111111111	{t1,t3}
24	2	0.14722222222222223	{t2,t4}
25	3	0.08322222222222223	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.13155555555555556	{t1,t4}
28	3	0.09111111111111111	{t2,t3,t4}
29	4	0.14044444444444446	{t1,t2,t3,t4}
30	2	0.151	{t3,t4}
31	3	0.09022222222222222	{t1,t3,t4}

