No.	Size	Cred	Members
1	2	0.13644444444444445	{t2,t5}
2	3	0.08255555555555555	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.1438888888888889	{t1,t5}
5	3	0.08744444444444445	{t2,t3,t5}
6	4	0.13955555555555554	{t1,t2,t3,t5}
7	2	0.1461111111111111	{t3,t5}
8	3	0.09077777777777778	{t1,t3,t5}
9	3	0.0918888888888889	{t2,t4,t5}
10	4	0.15388888888888888	{t1,t2,t4,t5}
11	2	0.149	{t4,t5}
12	3	0.089	{t1,t4,t5}
13	4	0.13933333333333334	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08033333333333334	{t3,t4,t5}
16	4	0.14544444444444443	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14244444444444446	{t1,t2}
19	1	1.0	{t1}
20	2	0.136	{t2,t3}
21	3	0.08577777777777777	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1451111111111111	{t1,t3}
24	2	0.14744444444444443	{t2,t4}
25	3	0.08688888888888889	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14033333333333334	{t1,t4}
28	3	0.08044444444444444	{t2,t3,t4}
29	4	0.1361111111111111	{t1,t2,t3,t4}
30	2	0.13844444444444445	{t3,t4}
31	3	0.08533333333333333	{t1,t3,t4}

