No.	Size	Cred	Members
1	2	0.14666666666666667	{t2,t5}
2	3	0.08855555555555555	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14555555555555555	{t1,t5}
5	3	0.08388888888888889	{t2,t3,t5}
6	4	0.1378888888888889	{t1,t2,t3,t5}
7	2	0.14555555555555555	{t3,t5}
8	3	0.08422222222222223	{t1,t3,t5}
9	3	0.09133333333333334	{t2,t4,t5}
10	4	0.15022222222222223	{t1,t2,t4,t5}
11	2	0.1431111111111111	{t4,t5}
12	3	0.09111111111111111	{t1,t4,t5}
13	4	0.15144444444444444	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08655555555555555	{t3,t4,t5}
16	4	0.14355555555555555	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14677777777777778	{t1,t2}
19	1	1.0	{t1}
20	2	0.13311111111111112	{t2,t3}
21	3	0.07933333333333334	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.13344444444444445	{t1,t3}
24	2	0.14233333333333334	{t2,t4}
25	3	0.08533333333333333	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.13922222222222222	{t1,t4}
28	3	0.08666666666666667	{t2,t3,t4}
29	4	0.1361111111111111	{t1,t2,t3,t4}
30	2	0.14555555555555555	{t3,t4}
31	3	0.08244444444444445	{t1,t3,t4}

