No.	Size	Cred	Members
1	2	0.1391111111111111	{t2,t5}
2	3	0.09211111111111112	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14766666666666667	{t1,t5}
5	3	0.07922222222222222	{t2,t3,t5}
6	4	0.14266666666666666	{t1,t2,t3,t5}
7	2	0.14566666666666667	{t3,t5}
8	3	0.09	{t1,t3,t5}
9	3	0.08333333333333333	{t2,t4,t5}
10	4	0.13866666666666666	{t1,t2,t4,t5}
11	2	0.13555555555555557	{t4,t5}
12	3	0.086	{t1,t4,t5}
13	4	0.15255555555555556	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.091	{t3,t4,t5}
16	4	0.1501111111111111	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14144444444444446	{t1,t2}
19	1	1.0	{t1}
20	2	0.13522222222222222	{t2,t3}
21	3	0.07933333333333334	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1388888888888889	{t1,t3}
24	2	0.13966666666666666	{t2,t4}
25	3	0.08522222222222223	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14122222222222222	{t1,t4}
28	3	0.0898888888888889	{t2,t3,t4}
29	4	0.1391111111111111	{t1,t2,t3,t4}
30	2	0.14955555555555555	{t3,t4}
31	3	0.08677777777777777	{t1,t3,t4}

