No.	Size	Cred	Members
1	2	0.13277777777777777	{t2,t5}
2	3	0.08166666666666667	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.1602222222222222	{t1,t5}
5	3	0.08244444444444445	{t2,t3,t5}
6	4	0.13766666666666666	{t1,t2,t3,t5}
7	2	0.14433333333333334	{t3,t5}
8	3	0.09077777777777778	{t1,t3,t5}
9	3	0.08155555555555556	{t2,t4,t5}
10	4	0.1401111111111111	{t1,t2,t4,t5}
11	2	0.13466666666666666	{t4,t5}
12	3	0.08888888888888889	{t1,t4,t5}
13	4	0.1408888888888889	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08522222222222223	{t3,t4,t5}
16	4	0.15144444444444444	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.13866666666666666	{t1,t2}
19	1	1.0	{t1}
20	2	0.1448888888888889	{t2,t3}
21	3	0.08355555555555555	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14155555555555555	{t1,t3}
24	2	0.14855555555555555	{t2,t4}
25	3	0.086	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.13422222222222221	{t1,t4}
28	3	0.09155555555555556	{t2,t3,t4}
29	4	0.14366666666666666	{t1,t2,t3,t4}
30	2	0.14822222222222223	{t3,t4}
31	3	0.08644444444444445	{t1,t3,t4}

