No.	Size	Cred	Members
1	2	0.146	{t2,t5}
2	3	0.07977777777777778	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14244444444444446	{t1,t5}
5	3	0.08588888888888889	{t2,t3,t5}
6	4	0.14733333333333334	{t1,t2,t3,t5}
7	2	0.1408888888888889	{t3,t5}
8	3	0.08922222222222222	{t1,t3,t5}
9	3	0.08644444444444445	{t2,t4,t5}
10	4	0.13311111111111112	{t1,t2,t4,t5}
11	2	0.14622222222222223	{t4,t5}
12	3	0.09022222222222222	{t1,t4,t5}
13	4	0.14177777777777778	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.087	{t3,t4,t5}
16	4	0.14777777777777779	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.13533333333333333	{t1,t2}
19	1	1.0	{t1}
20	2	0.15022222222222223	{t2,t3}
21	3	0.08733333333333333	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14733333333333334	{t1,t3}
24	2	0.142	{t2,t4}
25	3	0.07877777777777778	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.1428888888888889	{t1,t4}
28	3	0.08411111111111111	{t2,t3,t4}
29	4	0.14166666666666666	{t1,t2,t3,t4}
30	2	0.13944444444444445	{t3,t4}
31	3	0.08677777777777777	{t1,t3,t4}

