No.	Size	Cred	Members
1	2	0.14666666666666667	{t2,t5}
2	3	0.08344444444444445	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.139	{t1,t5}
5	3	0.09244444444444444	{t2,t3,t5}
6	4	0.1441111111111111	{t1,t2,t3,t5}
7	2	0.14655555555555555	{t3,t5}
8	3	0.08833333333333333	{t1,t3,t5}
9	3	0.08444444444444445	{t2,t4,t5}
10	4	0.13966666666666666	{t1,t2,t4,t5}
11	2	0.139	{t4,t5}
12	3	0.08311111111111111	{t1,t4,t5}
13	4	0.145	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.09155555555555556	{t3,t4,t5}
16	4	0.14633333333333334	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.1341111111111111	{t1,t2}
19	1	1.0	{t1}
20	2	0.14155555555555555	{t2,t3}
21	3	0.08222222222222222	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14044444444444446	{t1,t3}
24	2	0.1458888888888889	{t2,t4}
25	3	0.08666666666666667	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.144	{t1,t4}
28	3	0.08244444444444445	{t2,t3,t4}
29	4	0.141	{t1,t2,t3,t4}
30	2	0.14266666666666666	{t3,t4}
31	3	0.08933333333333333	{t1,t3,t4}

