No.	Size	Cred	Members
1	2	0.1398888888888889	{t2,t5}
2	3	0.08577777777777777	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.13355555555555557	{t1,t5}
5	3	0.08766666666666667	{t2,t3,t5}
6	4	0.14466666666666667	{t1,t2,t3,t5}
7	2	0.14777777777777779	{t3,t5}
8	3	0.08733333333333333	{t1,t3,t5}
9	3	0.08277777777777778	{t2,t4,t5}
10	4	0.13644444444444445	{t1,t2,t4,t5}
11	2	0.14277777777777778	{t4,t5}
12	3	0.08677777777777777	{t1,t4,t5}
13	4	0.147	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.09222222222222222	{t3,t4,t5}
16	4	0.14677777777777778	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14155555555555555	{t1,t2}
19	1	1.0	{t1}
20	2	0.14966666666666667	{t2,t3}
21	3	0.08322222222222223	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.13866666666666666	{t1,t3}
24	2	0.14066666666666666	{t2,t4}
25	3	0.082	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.144	{t1,t4}
28	3	0.08888888888888889	{t2,t3,t4}
29	4	0.138	{t1,t2,t3,t4}
30	2	0.14733333333333334	{t3,t4}
31	3	0.08455555555555555	{t1,t3,t4}

