No.	Size	Cred	Members
1	2	0.1338888888888889	{t2,t5}
2	3	0.09044444444444444	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14844444444444443	{t1,t5}
5	3	0.07866666666666666	{t2,t3,t5}
6	4	0.13522222222222222	{t1,t2,t3,t5}
7	2	0.12666666666666668	{t3,t5}
8	3	0.087	{t1,t3,t5}
9	3	0.08755555555555555	{t2,t4,t5}
10	4	0.14633333333333334	{t1,t2,t4,t5}
11	2	0.15322222222222223	{t4,t5}
12	3	0.08466666666666667	{t1,t4,t5}
13	4	0.14433333333333334	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08388888888888889	{t3,t4,t5}
16	4	0.13822222222222222	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14366666666666666	{t1,t2}
19	1	1.0	{t1}
20	2	0.15588888888888888	{t2,t3}
21	3	0.08588888888888889	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14277777777777778	{t1,t3}
24	2	0.14322222222222222	{t2,t4}
25	3	0.08522222222222223	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14233333333333334	{t1,t4}
28	3	0.089	{t2,t3,t4}
29	4	0.15588888888888888	{t1,t2,t3,t4}
30	2	0.13555555555555557	{t3,t4}
31	3	0.082	{t1,t3,t4}

