No.	Size	Cred	Members
1	2	0.15233333333333332	{t2,t5}
2	3	0.09166666666666666	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.136	{t1,t5}
5	3	0.08944444444444444	{t2,t3,t5}
6	4	0.15488888888888888	{t1,t2,t3,t5}
7	2	0.13477777777777777	{t3,t5}
8	3	0.08422222222222223	{t1,t3,t5}
9	3	0.08433333333333333	{t2,t4,t5}
10	4	0.1511111111111111	{t1,t2,t4,t5}
11	2	0.15233333333333332	{t4,t5}
12	3	0.08222222222222222	{t1,t4,t5}
13	4	0.139	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08066666666666666	{t3,t4,t5}
16	4	0.1298888888888889	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14477777777777778	{t1,t2}
19	1	1.0	{t1}
20	2	0.14522222222222222	{t2,t3}
21	3	0.09333333333333334	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1458888888888889	{t1,t3}
24	2	0.13733333333333334	{t2,t4}
25	3	0.08344444444444445	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.148	{t1,t4}
28	3	0.08233333333333333	{t2,t3,t4}
29	4	0.1418888888888889	{t1,t2,t3,t4}
30	2	0.13111111111111112	{t3,t4}
31	3	0.08377777777777778	{t1,t3,t4}

