No.	Size	Cred	Members
1	2	0.14533333333333334	{t2,t5}
2	3	0.08611111111111111	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14677777777777778	{t1,t5}
5	3	0.09177777777777778	{t2,t3,t5}
6	4	0.14422222222222222	{t1,t2,t3,t5}
7	2	0.13933333333333334	{t3,t5}
8	3	0.08322222222222223	{t1,t3,t5}
9	3	0.08755555555555555	{t2,t4,t5}
10	4	0.14366666666666666	{t1,t2,t4,t5}
11	2	0.14622222222222223	{t4,t5}
12	3	0.08566666666666667	{t1,t4,t5}
13	4	0.15888888888888889	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.09133333333333334	{t3,t4,t5}
16	4	0.12744444444444444	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14255555555555555	{t1,t2}
19	1	1.0	{t1}
20	2	0.15833333333333333	{t2,t3}
21	3	0.08388888888888889	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.13433333333333333	{t1,t3}
24	2	0.14377777777777778	{t2,t4}
25	3	0.07977777777777778	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14077777777777778	{t1,t4}
28	3	0.09144444444444444	{t2,t3,t4}
29	4	0.12655555555555556	{t1,t2,t3,t4}
30	2	0.1448888888888889	{t3,t4}
31	3	0.07611111111111112	{t1,t3,t4}

