No.	Size	Cred	Members
1	2	0.14244444444444446	{t2,t5}
2	3	0.09277777777777778	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14855555555555555	{t1,t5}
5	3	0.08388888888888889	{t2,t3,t5}
6	4	0.1368888888888889	{t1,t2,t3,t5}
7	2	0.14277777777777778	{t3,t5}
8	3	0.08044444444444444	{t1,t3,t5}
9	3	0.08477777777777777	{t2,t4,t5}
10	4	0.1368888888888889	{t1,t2,t4,t5}
11	2	0.13444444444444445	{t4,t5}
12	3	0.08611111111111111	{t1,t4,t5}
13	4	0.141	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08511111111111111	{t3,t4,t5}
16	4	0.14477777777777778	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.15233333333333332	{t1,t2}
19	1	1.0	{t1}
20	2	0.14033333333333334	{t2,t3}
21	3	0.08777777777777777	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1368888888888889	{t1,t3}
24	2	0.14433333333333334	{t2,t4}
25	3	0.077	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14277777777777778	{t1,t4}
28	3	0.08655555555555555	{t2,t3,t4}
29	4	0.14422222222222222	{t1,t2,t3,t4}
30	2	0.157	{t3,t4}
31	3	0.0898888888888889	{t1,t3,t4}

