No.	Size	Cred	Members
1	2	0.14544444444444443	{t2,t5}
2	3	0.08466666666666667	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14333333333333334	{t1,t5}
5	3	0.08144444444444444	{t2,t3,t5}
6	4	0.13955555555555554	{t1,t2,t3,t5}
7	2	0.1451111111111111	{t3,t5}
8	3	0.09133333333333334	{t1,t3,t5}
9	3	0.0908888888888889	{t2,t4,t5}
10	4	0.1398888888888889	{t1,t2,t4,t5}
11	2	0.14722222222222223	{t4,t5}
12	3	0.07988888888888888	{t1,t4,t5}
13	4	0.15066666666666667	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08877777777777777	{t3,t4,t5}
16	4	0.1391111111111111	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.13522222222222222	{t1,t2}
19	1	1.0	{t1}
20	2	0.14533333333333334	{t2,t3}
21	3	0.08844444444444445	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14966666666666667	{t1,t3}
24	2	0.14344444444444446	{t2,t4}
25	3	0.07955555555555556	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.13077777777777777	{t1,t4}
28	3	0.08833333333333333	{t2,t3,t4}
29	4	0.14455555555555555	{t1,t2,t3,t4}
30	2	0.1431111111111111	{t3,t4}
31	3	0.08422222222222223	{t1,t3,t4}

