No.	Size	Cred	Members
1	2	0.14055555555555554	{t2,t5}
2	3	0.09222222222222222	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.15488888888888888	{t1,t5}
5	3	0.07666666666666666	{t2,t3,t5}
6	4	0.1431111111111111	{t1,t2,t3,t5}
7	2	0.14244444444444446	{t3,t5}
8	3	0.09133333333333334	{t1,t3,t5}
9	3	0.08666666666666667	{t2,t4,t5}
10	4	0.14533333333333334	{t1,t2,t4,t5}
11	2	0.14233333333333334	{t4,t5}
12	3	0.08911111111111111	{t1,t4,t5}
13	4	0.14244444444444446	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08511111111111111	{t3,t4,t5}
16	4	0.14244444444444446	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.1408888888888889	{t1,t2}
19	1	1.0	{t1}
20	2	0.14133333333333334	{t2,t3}
21	3	0.08733333333333333	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1358888888888889	{t1,t3}
24	2	0.1491111111111111	{t2,t4}
25	3	0.08355555555555555	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.13133333333333333	{t1,t4}
28	3	0.09111111111111111	{t2,t3,t4}
29	4	0.13522222222222222	{t1,t2,t3,t4}
30	2	0.14888888888888888	{t3,t4}
31	3	0.08066666666666666	{t1,t3,t4}

