No.	Size	Cred	Members
1	2	0.14044444444444446	{t2,t5}
2	3	0.08511111111111111	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.1602222222222222	{t1,t5}
5	3	0.08433333333333333	{t2,t3,t5}
6	4	0.1401111111111111	{t1,t2,t3,t5}
7	2	0.1361111111111111	{t3,t5}
8	3	0.08711111111111111	{t1,t3,t5}
9	3	0.08811111111111111	{t2,t4,t5}
10	4	0.14533333333333334	{t1,t2,t4,t5}
11	2	0.13866666666666666	{t4,t5}
12	3	0.0951111111111111	{t1,t4,t5}
13	4	0.13855555555555554	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.07633333333333334	{t3,t4,t5}
16	4	0.1501111111111111	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.1438888888888889	{t1,t2}
19	1	1.0	{t1}
20	2	0.14166666666666666	{t2,t3}
21	3	0.08088888888888889	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1438888888888889	{t1,t3}
24	2	0.1491111111111111	{t2,t4}
25	3	0.0791111111111111	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14222222222222222	{t1,t4}
28	3	0.08544444444444445	{t2,t3,t4}
29	4	0.13333333333333333	{t1,t2,t3,t4}
30	2	0.14455555555555555	{t3,t4}
31	3	0.09022222222222222	{t1,t3,t4}

