No.	Size	Cred	Members
1	2	0.09877777777777778	{t2,t5}
2	3	0.06633333333333333	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.11822222222222223	{t1,t5}
5	3	0.04111111111111111	{t2,t3,t5}
6	4	0.06244444444444444	{t1,t2,t3,t5}
7	2	0.11611111111111111	{t3,t5}
8	3	0.06111111111111111	{t1,t3,t5}
9	3	0.03955555555555555	{t2,t4,t5}
10	4	0.04744444444444444	{t1,t2,t4,t5}
11	2	0.08655555555555555	{t4,t5}
12	3	0.027666666666666666	{t1,t4,t5}
13	4	0.04066666666666666	{t2,t3,t4,t5}
14	5	0.12755555555555556	{t1,t2,t3,t4,t5}
15	3	0.03955555555555555	{t3,t4,t5}
16	4	0.03822222222222222	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.10455555555555555	{t1,t2}
19	1	1.0	{t1}
20	2	0.10288888888888889	{t2,t3}
21	3	0.041555555555555554	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1371111111111111	{t1,t3}
24	2	0.11833333333333333	{t2,t4}
25	3	0.04744444444444444	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.10655555555555556	{t1,t4}
28	3	0.051666666666666666	{t2,t3,t4}
29	4	0.051444444444444445	{t1,t2,t3,t4}
30	2	0.112	{t3,t4}
31	3	0.044444444444444446	{t1,t3,t4}
32	3	0.04577777777777778	{t2,t5,t6}
33	4	0.051666666666666666	{t1,t2,t5,t6}
34	2	0.09677777777777778	{t5,t6}
35	3	0.04644444444444444	{t1,t5,t6}
36	4	0.046	{t2,t3,t5,t6}
37	5	0.09844444444444445	{t1,t2,t3,t5,t6}
38	3	0.04911111111111111	{t3,t5,t6}
39	4	0.04911111111111111	{t1,t3,t5,t6}
40	4	0.06455555555555556	{t2,t4,t5,t6}
41	5	0.11833333333333333	{t1,t2,t4,t5,t6}
42	3	0.05266666666666667	{t4,t5,t6}
43	4	0.03822222222222222	{t1,t4,t5,t6}
44	5	0.11711111111111111	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.04533333333333334	{t3,t4,t5,t6}
47	5	0.10522222222222222	{t1,t3,t4,t5,t6}
48	2	0.113	{t2,t6}
49	3	0.04811111111111111	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.09922222222222223	{t1,t6}
52	3	0.03666666666666667	{t2,t3,t6}
53	4	0.03966666666666667	{t1,t2,t3,t6}
54	2	0.108	{t3,t6}
55	3	0.048	{t1,t3,t6}
56	3	0.05733333333333333	{t2,t4,t6}
57	4	0.043333333333333335	{t1,t2,t4,t6}
58	2	0.13555555555555557	{t4,t6}
59	3	0.04377777777777778	{t1,t4,t6}
60	4	0.04544444444444445	{t2,t3,t4,t6}
61	5	0.11277777777777778	{t1,t2,t3,t4,t6}
62	3	0.05644444444444444	{t3,t4,t6}
63	4	0.058555555555555555	{t1,t3,t4,t6}

