No.	Size	Cred	Members
1	2	0.10011111111111111	{t2,t5}
2	3	0.04455555555555556	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.10855555555555556	{t1,t5}
5	3	0.04477777777777778	{t2,t3,t5}
6	4	0.04544444444444445	{t1,t2,t3,t5}
7	2	0.1121111111111111	{t3,t5}
8	3	0.03855555555555556	{t1,t3,t5}
9	3	0.042444444444444444	{t2,t4,t5}
10	4	0.04988888888888889	{t1,t2,t4,t5}
11	2	0.10511111111111111	{t4,t5}
12	3	0.044222222222222225	{t1,t4,t5}
13	4	0.04011111111111111	{t2,t3,t4,t5}
14	5	0.112	{t1,t2,t3,t4,t5}
15	3	0.043	{t3,t4,t5}
16	4	0.041	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.12233333333333334	{t1,t2}
19	1	1.0	{t1}
20	2	0.11688888888888889	{t2,t3}
21	3	0.056	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.11655555555555555	{t1,t3}
24	2	0.11133333333333334	{t2,t4}
25	3	0.05544444444444444	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.11588888888888889	{t1,t4}
28	3	0.050222222222222224	{t2,t3,t4}
29	4	0.050888888888888886	{t1,t2,t3,t4}
30	2	0.09755555555555556	{t3,t4}
31	3	0.04611111111111111	{t1,t3,t4}
32	3	0.045	{t2,t5,t6}
33	4	0.047	{t1,t2,t5,t6}
34	2	0.10711111111111112	{t5,t6}
35	3	0.04511111111111111	{t1,t5,t6}
36	4	0.04722222222222222	{t2,t3,t5,t6}
37	5	0.13133333333333333	{t1,t2,t3,t5,t6}
38	3	0.05633333333333333	{t3,t5,t6}
39	4	0.05277777777777778	{t1,t3,t5,t6}
40	4	0.04766666666666667	{t2,t4,t5,t6}
41	5	0.11455555555555555	{t1,t2,t4,t5,t6}
42	3	0.042777777777777776	{t4,t5,t6}
43	4	0.03866666666666667	{t1,t4,t5,t6}
44	5	0.10022222222222223	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.03811111111111111	{t3,t4,t5,t6}
47	5	0.097	{t1,t3,t4,t5,t6}
48	2	0.11933333333333333	{t2,t6}
49	3	0.052333333333333336	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.107	{t1,t6}
52	3	0.04822222222222222	{t2,t3,t6}
53	4	0.05644444444444444	{t1,t2,t3,t6}
54	2	0.125	{t3,t6}
55	3	0.058666666666666666	{t1,t3,t6}
56	3	0.044	{t2,t4,t6}
57	4	0.050222222222222224	{t1,t2,t4,t6}
58	2	0.111	{t4,t6}
59	3	0.049555555555555554	{t1,t4,t6}
60	4	0.04922222222222222	{t2,t3,t4,t6}
61	5	0.112	{t1,t2,t3,t4,t6}
62	3	0.04844444444444444	{t3,t4,t6}
63	4	0.04655555555555556	{t1,t3,t4,t6}

