No.	Size	Cred	Members
1	2	0.11788888888888889	{t2,t5}
2	3	0.048	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.10166666666666667	{t1,t5}
5	3	0.03811111111111111	{t2,t3,t5}
6	4	0.03588888888888889	{t1,t2,t3,t5}
7	2	0.14366666666666666	{t3,t5}
8	3	0.05266666666666667	{t1,t3,t5}
9	3	0.06177777777777778	{t2,t4,t5}
10	4	0.043555555555555556	{t1,t2,t4,t5}
11	2	0.11577777777777777	{t4,t5}
12	3	0.03755555555555556	{t1,t4,t5}
13	4	0.050444444444444445	{t2,t3,t4,t5}
14	5	0.11055555555555556	{t1,t2,t3,t4,t5}
15	3	0.057777777777777775	{t3,t4,t5}
16	4	0.058888888888888886	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.10822222222222222	{t1,t2}
19	1	1.0	{t1}
20	2	0.07122222222222223	{t2,t3}
21	3	0.029666666666666668	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.11466666666666667	{t1,t3}
24	2	0.13211111111111112	{t2,t4}
25	3	0.06155555555555556	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.11033333333333334	{t1,t4}
28	3	0.04022222222222222	{t2,t3,t4}
29	4	0.04711111111111111	{t1,t2,t3,t4}
30	2	0.12688888888888888	{t3,t4}
31	3	0.05355555555555556	{t1,t3,t4}
32	3	0.06133333333333333	{t2,t5,t6}
33	4	0.058888888888888886	{t1,t2,t5,t6}
34	2	0.11055555555555556	{t5,t6}
35	3	0.04122222222222222	{t1,t5,t6}
36	4	0.042666666666666665	{t2,t3,t5,t6}
37	5	0.096	{t1,t2,t3,t5,t6}
38	3	0.05366666666666667	{t3,t5,t6}
39	4	0.043222222222222224	{t1,t3,t5,t6}
40	4	0.059555555555555556	{t2,t4,t5,t6}
41	5	0.12766666666666668	{t1,t2,t4,t5,t6}
42	3	0.04933333333333333	{t4,t5,t6}
43	4	0.032	{t1,t4,t5,t6}
44	5	0.12522222222222223	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.04877777777777778	{t3,t4,t5,t6}
47	5	0.09444444444444444	{t1,t3,t4,t5,t6}
48	2	0.13744444444444445	{t2,t6}
49	3	0.052444444444444446	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.11355555555555556	{t1,t6}
52	3	0.038	{t2,t3,t6}
53	4	0.03411111111111111	{t1,t2,t3,t6}
54	2	0.08966666666666667	{t3,t6}
55	3	0.044	{t1,t3,t6}
56	3	0.05388888888888889	{t2,t4,t6}
57	4	0.06311111111111112	{t1,t2,t4,t6}
58	2	0.09788888888888889	{t4,t6}
59	3	0.03844444444444445	{t1,t4,t6}
60	4	0.038	{t2,t3,t4,t6}
61	5	0.104	{t1,t2,t3,t4,t6}
62	3	0.042	{t3,t4,t6}
63	4	0.03911111111111111	{t1,t3,t4,t6}

