No.	Size	Cred	Members
1	2	0.10011111111111111	{t2,t5}
2	3	0.04066666666666666	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.10888888888888888	{t1,t5}
5	3	0.06711111111111111	{t2,t3,t5}
6	4	0.051555555555555556	{t1,t2,t3,t5}
7	2	0.11244444444444444	{t3,t5}
8	3	0.051555555555555556	{t1,t3,t5}
9	3	0.04588888888888889	{t2,t4,t5}
10	4	0.04044444444444444	{t1,t2,t4,t5}
11	2	0.10633333333333334	{t4,t5}
12	3	0.04066666666666666	{t1,t4,t5}
13	4	0.05355555555555556	{t2,t3,t4,t5}
14	5	0.12655555555555556	{t1,t2,t3,t4,t5}
15	3	0.04388888888888889	{t3,t4,t5}
16	4	0.05177777777777778	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.10266666666666667	{t1,t2}
19	1	1.0	{t1}
20	2	0.13011111111111112	{t2,t3}
21	3	0.049	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.11366666666666667	{t1,t3}
24	2	0.11788888888888889	{t2,t4}
25	3	0.04577777777777778	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.1078888888888889	{t1,t4}
28	3	0.04922222222222222	{t2,t3,t4}
29	4	0.044444444444444446	{t1,t2,t3,t4}
30	2	0.09277777777777778	{t3,t4}
31	3	0.04677777777777778	{t1,t3,t4}
32	3	0.05511111111111111	{t2,t5,t6}
33	4	0.04655555555555556	{t1,t2,t5,t6}
34	2	0.12055555555555555	{t5,t6}
35	3	0.04655555555555556	{t1,t5,t6}
36	4	0.055	{t2,t3,t5,t6}
37	5	0.11533333333333333	{t1,t2,t3,t5,t6}
38	3	0.04611111111111111	{t3,t5,t6}
39	4	0.043111111111111114	{t1,t3,t5,t6}
40	4	0.04988888888888889	{t2,t4,t5,t6}
41	5	0.11244444444444444	{t1,t2,t4,t5,t6}
42	3	0.04788888888888889	{t4,t5,t6}
43	4	0.04122222222222222	{t1,t4,t5,t6}
44	5	0.1351111111111111	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.050444444444444445	{t3,t4,t5,t6}
47	5	0.08066666666666666	{t1,t3,t4,t5,t6}
48	2	0.1368888888888889	{t2,t6}
49	3	0.042222222222222223	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.09422222222222222	{t1,t6}
52	3	0.05533333333333333	{t2,t3,t6}
53	4	0.055	{t1,t2,t3,t6}
54	2	0.11144444444444444	{t3,t6}
55	3	0.04111111111111111	{t1,t3,t6}
56	3	0.04844444444444444	{t2,t4,t6}
57	4	0.03988888888888889	{t1,t2,t4,t6}
58	2	0.10155555555555555	{t4,t6}
59	3	0.03988888888888889	{t1,t4,t6}
60	4	0.05388888888888889	{t2,t3,t4,t6}
61	5	0.10877777777777778	{t1,t2,t3,t4,t6}
62	3	0.045	{t3,t4,t6}
63	4	0.03866666666666667	{t1,t3,t4,t6}

