No.	Size	Cred	Members
1	2	0.1121111111111111	{t2,t5}
2	3	0.04544444444444445	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.1282222222222222	{t1,t5}
5	3	0.04822222222222222	{t2,t3,t5}
6	4	0.06233333333333333	{t1,t2,t3,t5}
7	2	0.13777777777777778	{t3,t5}
8	3	0.059222222222222225	{t1,t3,t5}
9	3	0.041777777777777775	{t2,t4,t5}
10	4	0.058666666666666666	{t1,t2,t4,t5}
11	2	0.11877777777777777	{t4,t5}
12	3	0.058888888888888886	{t1,t4,t5}
13	4	0.03811111111111111	{t2,t3,t4,t5}
14	5	0.1238888888888889	{t1,t2,t3,t4,t5}
15	3	0.04788888888888889	{t3,t4,t5}
16	4	0.05177777777777778	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.10577777777777778	{t1,t2}
19	1	1.0	{t1}
20	2	0.09466666666666666	{t2,t3}
21	3	0.045	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.117	{t1,t3}
24	2	0.12777777777777777	{t2,t4}
25	3	0.049444444444444444	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.10133333333333333	{t1,t4}
28	3	0.04577777777777778	{t2,t3,t4}
29	4	0.03977777777777778	{t1,t2,t3,t4}
30	2	0.09622222222222222	{t3,t4}
31	3	0.04488888888888889	{t1,t3,t4}
32	3	0.044222222222222225	{t2,t5,t6}
33	4	0.04911111111111111	{t1,t2,t5,t6}
34	2	0.1121111111111111	{t5,t6}
35	3	0.05433333333333333	{t1,t5,t6}
36	4	0.03922222222222222	{t2,t3,t5,t6}
37	5	0.106	{t1,t2,t3,t5,t6}
38	3	0.051	{t3,t5,t6}
39	4	0.05544444444444444	{t1,t3,t5,t6}
40	4	0.03744444444444445	{t2,t4,t5,t6}
41	5	0.089	{t1,t2,t4,t5,t6}
42	3	0.04533333333333334	{t4,t5,t6}
43	4	0.04611111111111111	{t1,t4,t5,t6}
44	5	0.0961111111111111	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.04888888888888889	{t3,t4,t5,t6}
47	5	0.13277777777777777	{t1,t3,t4,t5,t6}
48	2	0.114	{t2,t6}
49	3	0.03688888888888889	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.09655555555555556	{t1,t6}
52	3	0.05422222222222222	{t2,t3,t6}
53	4	0.039	{t1,t2,t3,t6}
54	2	0.12577777777777777	{t3,t6}
55	3	0.04111111111111111	{t1,t3,t6}
56	3	0.04477777777777778	{t2,t4,t6}
57	4	0.04833333333333333	{t1,t2,t4,t6}
58	2	0.11355555555555556	{t4,t6}
59	3	0.04788888888888889	{t1,t4,t6}
60	4	0.04922222222222222	{t2,t3,t4,t6}
61	5	0.09155555555555556	{t1,t2,t3,t4,t6}
62	3	0.044	{t3,t4,t6}
63	4	0.04522222222222222	{t1,t3,t4,t6}

